                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4696,                 1.1525,                 1.0258,                0.94549,                0.98394,                0.97237,                0.72237,                 0.9483,                0.56293,                0.86195,             0.00055465,             0.00055465,             0.00055465
                      2,                0.88087,                0.52937,                0.85514,                0.93913,                0.98685,                0.98003,                0.79412,                0.76752,                0.47304,                0.82866,              0.0010737,              0.0010737,              0.0010737
                      3,                0.75644,                 0.4594,                0.83359,                0.96356,                0.99147,                0.99068,                0.84901,                0.65178,                0.40441,                0.80684,               0.001556,               0.001556,               0.001556
                      4,                0.68338,                0.41868,                0.82255,                0.97498,                0.99155,                0.99257,                0.87877,                0.56024,                0.36535,                0.79068,               0.001502,               0.001502,               0.001502
                      5,                0.63416,                0.38552,                0.81489,                0.96743,                0.98069,                0.99235,                0.90289,                0.47401,                0.33194,                0.77667,               0.001447,               0.001447,               0.001447
                      6,                0.58605,                0.35891,                0.80839,                0.97594,                0.99552,                0.99117,                0.88685,                0.53152,                0.32519,                0.78264,              0.0013919,              0.0013919,              0.0013919
                      7,                0.56284,                0.34572,                0.80526,                0.98073,                0.99633,                0.99111,                 0.9185,                0.45029,                0.29625,                0.77319,              0.0013369,              0.0013369,              0.0013369
                      8,                0.53747,                 0.3315,                0.80277,                0.99039,                0.99318,                0.99376,                0.93193,                0.41149,                0.27562,                0.76817,              0.0012819,              0.0012819,              0.0012819
                      9,                0.52598,                0.32255,                0.80123,                0.98384,                0.99659,                0.99134,                0.91422,                0.43455,                0.28295,                0.77016,              0.0012269,              0.0012269,              0.0012269
                     10,                 0.5016,                0.30913,                 0.7975,                0.99187,                0.99347,                0.99329,                0.93447,                0.38123,                 0.2559,                0.76405,              0.0011719,              0.0011719,              0.0011719
                     11,                0.48171,                0.29673,                0.79548,                0.99211,                0.99563,                0.99421,                0.94509,                0.36411,                0.24819,                0.76273,              0.0011169,              0.0011169,              0.0011169
                     12,                0.46364,                0.28758,                0.79441,                0.99631,                0.99736,                0.99409,                0.94233,                0.37062,                0.24156,                0.76367,              0.0010619,              0.0010619,              0.0010619
                     13,                0.45043,                0.27893,                0.79222,                0.99573,                0.99366,                0.99443,                0.95455,                0.34029,                0.23306,                0.76008,              0.0010069,              0.0010069,              0.0010069
                     14,                0.44324,                0.27394,                0.79114,                0.99379,                0.99211,                0.99435,                0.94602,                0.35396,                0.24324,                0.76072,             0.00095186,             0.00095186,             0.00095186
                     15,                0.42682,                0.26345,                0.78997,                0.99778,                0.99773,                0.99447,                0.96082,                0.32744,                0.22212,                0.75855,             0.00089685,             0.00089685,             0.00089685
                     16,                0.41545,                 0.2579,                 0.7889,                0.99801,                0.99841,                0.99441,                0.96427,                0.31369,                0.21065,                0.75736,             0.00084184,             0.00084184,             0.00084184
                     17,                  0.405,                0.25169,                 0.7876,                0.99709,                0.99808,                0.99447,                0.95995,                0.33187,                0.21289,                0.75911,             0.00078682,             0.00078682,             0.00078682
                     18,                0.39346,                0.24558,                0.78654,                0.99792,                0.99806,                 0.9944,                0.97227,                0.28926,                0.20038,                0.75523,             0.00073181,             0.00073181,             0.00073181
                     19,                0.38285,                0.24035,                0.78559,                0.99761,                0.99844,                 0.9944,                0.97455,                0.27985,                0.19691,                0.75357,              0.0006768,              0.0006768,              0.0006768
                     20,                0.36964,                0.23429,                0.78386,                0.99761,                 0.9986,                0.99447,                0.97282,                 0.2851,                0.19519,                0.75361,             0.00062179,             0.00062179,             0.00062179
                     21,                0.34373,                0.21562,                0.77772,                0.99776,                0.99864,                0.99441,                 0.9733,                0.29003,                0.19667,                0.75492,             0.00056678,             0.00056678,             0.00056678
                     22,                0.32656,                0.20561,                0.77593,                0.99762,                0.99859,                 0.9944,                 0.9757,                0.27856,                0.19166,                0.75246,             0.00051177,             0.00051177,             0.00051177
                     23,                0.31141,                0.19926,                0.77504,                0.99801,                0.99879,                0.99448,                0.97614,                0.27186,                0.18674,                0.75241,             0.00045676,             0.00045676,             0.00045676
                     24,                0.29424,                0.19137,                0.77242,                0.99823,                0.99872,                0.99446,                0.98015,                0.24981,                0.17824,                0.75062,             0.00040175,             0.00040175,             0.00040175
                     25,                0.28073,                0.18524,                0.77161,                0.99819,                0.99889,                0.99446,                0.98433,                 0.2387,                0.17393,                0.74961,             0.00034674,             0.00034674,             0.00034674
                     26,                0.27116,                0.18017,                0.77098,                0.99815,                0.99883,                0.99445,                 0.9844,                0.23754,                0.17078,                0.74956,             0.00029172,             0.00029172,             0.00029172
                     27,                0.26114,                 0.1762,                0.76988,                 0.9982,                0.99886,                0.99449,                0.98482,                0.23459,                0.16973,                0.74933,             0.00023671,             0.00023671,             0.00023671
                     28,                0.24884,                 0.1707,                0.76926,                 0.9982,                0.99887,                0.99451,                0.98478,                0.22579,                0.16543,                0.74876,              0.0001817,              0.0001817,              0.0001817
                     29,                0.23846,                 0.1662,                0.76844,                0.99821,                0.99885,                0.99452,                0.98633,                0.21886,                0.16272,                0.74817,             0.00012669,             0.00012669,             0.00012669
                     30,                0.22716,                0.16114,                0.76825,                0.99835,                0.99885,                0.99454,                0.98793,                0.21175,                0.15891,                0.74789,             7.1681e-05,             7.1681e-05,             7.1681e-05
